packet_timestamp,time,vel_x,vel_y,vel_z,vel_mag
5281.25,5281.45,0.0,0.0,0.0,0.0
5281.25,5281.55,0.0,0.0,0.0,0.0
5281.25,5281.65,0.0,0.0,0.0,0.0
5281.25,5281.75,0.0,0.0,0.0,0.0
5281.25,5281.85,0.0,0.0,0.0,0.0
5281.25,5281.95,0.0,0.0,0.0,0.0
5281.25,5282.05,0.0,0.0,0.0,0.0
5281.25,5282.15,0.0,0.0,0.0,0.0
5282.25,5282.25,0.0,0.0,0.0,0.0
5282.25,5282.35,0.0,0.0,0.0,0.0
5282.25,5282.45,0.0,0.0,0.0,0.0
5282.25,5282.55,0.0,0.0,0.0,0.0
5282.25,5282.65,0.0,0.0,0.0,0.0
5282.25,5282.75,0.0,0.0,0.0,0.0
5282.25,5282.85,0.0,0.0,0.0,0.0
5282.25,5282.95,0.0,0.0,0.0,0.0
5282.25,5283.05,0.0,0.0,0.0,0.0
5282.25,5283.15,0.0,0.0,0.0,0.0
5283.25,5283.25,0.0,0.0,0.0,0.0
5283.25,5283.35,0.0,0.0,0.0,0.0
5283.25,5283.45,0.0,0.0,0.0,0.0
5283.25,5283.55,0.0636363636363636,0.0,0.0,0.0636363636363636
5283.25,5283.65,0.1,0.0,0.0,0.1
5283.25,5283.75,0.4599999999999999,0.0,0.0,0.4599999999999999
5283.25,5283.85,0.5454545454545454,0.0,0.0,0.5454545454545454
5283.25,5283.95,0.7,0.0,0.0111111111111111,0.7006917527588727
5283.25,5284.05,0.9454545454545452,0.0,0.1,0.9507854995171268
5283.25,5284.15,1.2888888888888888,0.0,0.1,1.2927954271998228
5284.25,5284.25,1.7777777777777777,0.0,0.1,1.780611864290989
5284.25,5284.35,2.4454545454545453,0.0,0.1,2.447515418750882
5284.25,5284.45,3.1333333333333333,0.0,0.0111111111111111,3.1335316828027087
5284.25,5284.55,4.054545454545454,-0.0363636363636363,0.0,4.05496364835865
5284.25,5284.65,4.89,-0.1,0.08,4.8918300320520185
