packet_timestamp,time,lat,lon,alt,acc_x,acc_y,acc_z,acc_mag,vel_x,vel_y,vel_z,vel_mag
5270.25,5270.45,47.9868608,-81.8484864,559.718,9.863,-0.791,-0.267,9.89843665193709,0.0,0.0,0.0,0.0
5270.25,5270.55,47.98686080000001,-81.8484864,559.8505,9.868888888888888,-0.71,-0.17666666666666664,9.896091682694596,0.0,0.0,0.0,0.0
5270.25,5270.65,47.9868608,-81.8484864,559.451,9.885000000000002,-0.68,-0.194,9.910544080380308,0.0,0.0,0.0,0.0
5270.25,5270.75,47.9868608,-81.8484864,559.8065,9.906666666666668,-0.7455555555555555,-0.28222222222222226,9.938927287306093,0.0,0.0,0.0,0.0
5270.25,5270.85,47.9868608,-81.8484864,560.073,9.874545454545453,-0.8209090909090908,-0.16181818181818183,9.910113642263692,0.0,0.0,0.0,0.0
5270.25,5270.95,47.9868608,-81.8484864,560.0730000000001,9.866,-0.767,-0.22999999999999998,9.898726496244677,0.0,0.0,0.0,0.0
5270.25,5271.05,47.98686080000001,-81.8484864,560.073,9.877,-0.671,-0.19,9.901908835109356,0.0,0.0,0.0,0.0
5270.25,5271.15,47.9868608,-81.8484864,559.984,9.869999999999997,-0.69,-0.11777777777777779,9.894996410696557,0.0,0.0,0.0,0.0
5271.25,5271.25,47.9868608,-81.8484864,560.162,9.909,-0.7859999999999999,-0.26200000000000007,9.943741183261917,0.0,0.0,0.0,0.0
5271.25,5271.35,47.9868608,-81.8484864,560.785,9.837,-0.8030000000000002,-0.13400000000000004,9.870919061548621,0.0,0.0,0.0,0.0
5271.25,5271.45,47.98686080000001,-81.8484864,559.9395,9.866,-0.7510000000000001,-0.197,9.896924046372611,0.0,0.0,0.0,0.0
5271.25,5271.55,47.9868608,-81.8484864,560.162,9.862,-0.6579999999999999,-0.26499999999999996,9.888057376148215,0.0,0.0,0.0,0.0
5271.25,5271.65,47.9868608,-81.8484864,560.6514999999999,9.897777777777778,-0.6933333333333334,-0.025555555555555557,9.922280951285762,0.0,0.0,0.0,0.0
5271.25,5271.75,47.9868608,-81.8484864,560.34,9.897,-0.827,-0.30800000000000005,9.936979942439827,0.0,0.0,0.0,0.0
5271.25,5271.85,47.9868608,-81.8484864,560.829,9.878,-0.752,-0.177,9.90993844052998,0.0,0.0,0.0,0.0
5271.25,5271.95,47.98686080000001,-81.8484864,560.8735,9.903,-0.7020000000000001,-0.029000000000000005,9.928417315868394,0.0,0.0,0.0,0.0
5271.25,5272.05,47.9868608,-81.8484864,560.34,9.864999999999998,-0.6900000000000001,-0.421,9.899760064208635,0.0,0.0,0.0,0.0
5271.25,5272.15,47.9868608,-81.8484864,561.0070000000001,9.90111111111111,-0.7033333333333334,-0.1577777777777778,9.92953883413721,0.0,0.0,0.0,0.0
5272.25,5272.25,47.9868608,-81.8484864,560.696,9.897,-0.772,-0.02499999999999999,9.929437173862993,0.0,0.0,0.0,0.0
5272.25,5272.35,47.9868608,-81.8484864,560.6959999999999,9.888,-0.7809999999999999,-0.3450000000000001,9.927381431562853,0.0,0.0,0.0,0.0
5272.25,5272.45,47.98686080000001,-81.8484864,560.962,9.885000000000002,-0.721,-0.11399999999999999,9.913211908591274,0.0,0.0,0.0,0.0
5272.25,5272.55,47.9868608,-81.8484864,560.6514999999999,9.851818181818182,-0.6927272727272726,-0.10090909090909089,9.87893089109145,0.0,0.0,0.0,0.0
5272.25,5272.65,47.9868608,-81.8484864,560.2955,9.8725,-0.7437500000000001,-0.42250000000000004,9.91343508036189,0.0,0.0,0.0,0.0
5272.25,5272.75,47.9868608,-81.8484864,560.429,9.88,-0.869,-0.21300000000000002,9.92220602066114,0.0,0.0,0.0,0.0
5272.25,5272.85,47.9868608,-81.8484864,560.429,9.888,-0.659,-0.05,9.911155276314757,0.0,0.0,0.0,0.0
5272.25,5272.95,47.98686080000001,-81.8484864,560.162,9.870999999999999,-0.678,-0.24400000000000005,9.898373312216817,0.0,0.0,0.0,0.0
5272.25,5273.05,47.9868608,-81.8484864,560.6514999999999,9.861818181818181,-0.8,-0.15363636363636365,9.896295459587822,0.0,0.0,0.0,0.0
5272.25,5273.15,47.9868608,-81.8484864,560.696,9.87,-0.8222222222222222,-0.11222222222222222,9.90522456138579,0.0,0.0,0.0,0.0
5273.25,5273.25,47.9868608,-81.8484864,560.607,9.860000000000001,-0.7355555555555555,-0.23222222222222222,9.890803835547818,0.0,0.0,0.0,0.0
5273.25,5273.35,47.9868608,-81.8484864,560.518,9.889999999999999,-0.6745454545454546,-0.23636363636363636,9.916478943896761,0.0,0.0,0.0,0.0
5273.25,5273.45,47.98686080000001,-81.8484864,560.518,9.862222222222222,-0.7322222222222223,-0.21777777777777774,9.892191693393492,0.0,0.0,0.0,0.0
5273.25,5273.55,47.9868608,-81.8484864,560.4735000000001,9.85909090909091,-0.8081818181818182,-0.25181818181818183,9.895520020738946,0.0,0.0,0.0,0.0
5273.25,5273.65,47.9868608,-81.8484864,560.34,9.865555555555556,-0.8111111111111111,-0.23111111111111113,9.901753001178562,0.0,0.0,0.0,0.0
5273.25,5273.75,47.9868608,-81.8484864,559.984,9.854444444444447,-0.6633333333333334,-0.1288888888888889,9.87769373548756,0.0,0.0,0.0,0.0
5273.25,5273.85,47.9868608,-81.8484864,560.785,9.870909090909093,-0.6836363636363637,-0.1981818181818182,9.896803232357774,0.0,0.0,0.0,0.0
5273.25,5273.95,47.98686080000001,-81.8484864,560.429,9.88111111111111,-0.75,-0.18000000000000002,9.911394911168289,0.0,0.0,0.0,0.0
5273.25,5274.05,47.9868608,-81.8484864,560.607,9.820909090909092,-0.8381818181818183,-0.13363636363636366,9.857845717594067,0.0,0.0,0.0,0.0
5273.25,5274.15,47.9868608,-81.8484864,560.251,9.847,-0.742,-0.257,9.878510263482513,0.0,0.0,0.0,0.0
5274.25,5274.25,47.9868608,-81.8484864,560.4735000000001,9.8575,-0.62625,-0.20500000000000002,9.879607963652976,0.0,0.0,0.0,0.0
5274.25,5274.35,47.98686080000001,-81.8484864,560.607,9.864545454545455,-0.7081818181818181,-0.16,9.891475723748544,0.0,0.0,0.0,0.0
5274.25,5274.45,47.98686080000001,-81.8484864,560.518,9.86,-0.8522222222222222,-0.20444444444444443,9.899167011873313,0.0,0.0,0.0,0.0
5274.25,5274.55,47.9868608,-81.8484864,560.607,9.873636363636363,-0.8272727272727273,-0.19636363636363638,9.910397752673617,0.0,0.0,0.0,0.0
5274.25,5274.65,47.9868608,-81.8484864,560.162,9.894,-0.6130000000000001,-0.182,9.915004511907963,0.0,0.0,0.0,0.0
5274.25,5274.75,47.9868608,-81.8484864,560.429,9.88625,-0.63,-0.1775,9.908030864826706,0.0,0.0,0.0,0.0
5274.25,5274.85,47.9868608,-81.8484864,560.429,9.879090909090909,-0.8563636363636363,-0.18454545454545454,9.918134351459488,0.0,0.0,0.0,0.0
5274.25,5274.95,47.98686080000001,-81.8484864,559.8065,9.870000000000001,-0.8780000000000001,-0.238,9.91199449570848,0.0,0.0,0.0,0.0
5274.25,5275.05,47.9868608,-81.8484864,560.429,9.889,-0.651,-0.20400000000000001,9.912878975093324,0.0,0.0,0.0,0.0
5274.25,5275.15,47.9868608,-81.8484864,560.2955,9.87,-0.5770000000000001,-0.192,9.889105797806085,0.0,0.0,0.0,0.0
5275.25,5275.25,47.9868608,-81.8484864,560.251,9.853333333333333,-0.7922222222222222,-0.22555555555555554,9.887895638116488,0.0,0.0,0.0,0.0
5275.25,5275.35,47.98686080000001,-81.8484864,560.0735,9.868999999999998,-0.922,-0.14900000000000002,9.913381097051381,0.0,0.0,0.0,0.0
5275.25,5275.45,47.98686080000001,-81.8484864,560.429,9.865,-0.7609999999999999,-0.14899999999999997,9.895693739844369,0.0,0.0,0.0,0.0
