mission_time,x,y,z,magnitude
5435.86,29100,2550,-16186,33396.09402310396
5435.88,28650,4200,-15286,32743.30917912849
5435.9,28950,5700,-14536,32892.06281156596
5435.92,28350,6899,-13336,32080.642091454465
5435.94,29100,7500,-12137,32409.362366452075
5435.96,28950,9150,-11686,32532.869470736823
5435.98,29550,9900,-10636,32929.272630897874
5436.0,28950,11700,-8836,32450.99992296077
5436.02,28500,12900,-7486,32166.75606896039
5436.04,27900,14100,-7336,32109.76325045079
5436.06,27450,15000,-6586,31966.824928353457
5436.08,28350,15150,-5986,32696.745954299487
5436.1,27150,15299,-4636,31506.73574015563
5436.12,27150,15000,-5236,31456.926041811523
5436.14,26850,15150,-4486,31153.959555729027
5436.16,27150,15450,-5986,31806.559009110057
5436.18,27599,14700,-5236,31705.05475472326
5436.2,26400,14550,-5836,30703.768433207024
5436.22,27450,14550,-6887,31821.938485893657
5436.23,28200,14400,-8086,32680.01523867454
5436.25,29249,14250,-9886,34004.40408241262
5436.27,29699,13950,-10786,34539.410779571794
5436.29,30900,14550,-13186,36611.24275410492
5436.31,31950,14250,-14686,37941.31779472084
5436.33,32250,14550,-16936,39224.904027925935
5436.35,32400,14250,-18586,39978.26779639158
5436.37,-32387,14400,-20086,40739.72465542692
5436.39,-32086,15450,-21736,41721.30860843173
5436.41,-31636,14250,-21886,41023.115337575226
5436.43,-32387,15000,-22186,42025.42522093024
5436.45,-32236,16500,-22336,42547.69784606448
5436.47,-32236,15750,-20836,41489.2888827948
5436.49,-32236,16050,-19486,40944.67476974265
5436.51,32400,16800,-17686,40556.06731427494
5436.53,31650,15750,-16186,38881.50712099519
5436.55,32400,16800,-14836,39396.787889369865
5436.57,30599,16650,-11836,36791.46907912213
5436.59,29699,16950,-10036,35637.822562552836
5436.61,28350,17250,-8086,34156.52786803717
5436.63,27750,18450,-5386,33756.09568655712
5436.64,26249,17850,-3136,31897.758494916223
5436.66,25500,18450,-2686,31589.034426522125
5436.68,24000,18150,-736,30099.239126595876
5436.7,23700,16800,14,29050.47669144174
5436.72,23250,17250,1214,28975.83123915516
5436.74,22949,15750,314,27835.547363039226
5436.76,22650,16800,1513,28240.957296097455
5436.78,24000,17550,1364,29763.45067360302
5436.8,24300,17250,1064,29819.198446638366
5436.82,24000,19050,464,30645.028895401618
5436.84,25350,20250,-1486,32479.119384613863
5436.86,25800,20550,-1336,33011.01931173892
5436.88,25800,22650,-3286,34488.553115490366
5436.9,26100,23550,-4636,35458.496809650576
5436.92,28050,24150,-6736,37621.78485930725
5436.94,28800,25800,-7786,39442.38577976743
5436.959,29550,25800,-10486,40605.402300679154
5436.98,30000,27150,-12736,42418.48884625665
5437.0,31650,26100,-16036,44046.40502924161
5437.02,32250,26550,-18286,45599.811359258936
5437.04,31950,25949,-20386,45931.928949261426
5437.05,-32387,25350,-23386,47312.21052751604
5437.07,-32236,24750,-24886,47655.37946549161
5437.09,-32236,24900,-27586,49195.092153587844
5437.11,-31186,24449,-29536,49423.63294012289
5437.13,-31786,23400,-31486,50490.37524122791
5437.15,-31636,22200,31950,50144.58092356541
5437.17,-31936,21900,30599,49353.995755156444
5437.19,-32686,21600,30150,49436.394447815466
5437.21,-32387,20250,28650,47747.28022620765
5437.23,-32686,20100,26550,46661.40906573654
5437.25,-32387,18300,27150,46053.558700712805
5437.27,-32536,17400,27150,45809.10167204766
5437.29,-32686,16350,26400,45084.998569368945
5437.31,-31936,16200,26100,44312.05361975452
5437.33,32700,15750,26249,44792.437989017744
5437.35,-32686,16050,26249,44888.60765272187
5437.37,-32536,15750,27000,45118.22022199014
5437.39,-32236,16950,26249,44894.01070298799
5437.41,32400,17250,26249,45125.74100222621
5437.43,32550,19050,26699,46208.67452113293
5437.45,32400,21449,26699,47145.0549050481
5437.46,-32686,23100,26249,47864.33533435934
5437.48,-32236,26400,28200,50312.61964954717
5437.5,31500,28800,29550,51912.354020984254
5437.52,31950,32100,30300,54491.3066461064
5437.54,31200,-31786,-32536,55157.78360304192
5437.56,30450,-28336,-30736,51718.78857823335
5437.58,29249,-25936,-28786,48547.02764330686
5437.599,28350,-24586,-27436,46485.78268675273
5437.62,27450,-22486,-25786,43863.885965563975
5437.64,25350,-20686,-25336,41381.71083945177
5437.66,24750,-19486,-24436,39867.08908360379
5437.68,24150,-17836,-25036,39091.51688026445
5437.7,24750,-17986,-26536,40499.60483757835
5437.72,23100,-16637,-26386,38815.21306137582
5437.74,24449,-16486,-28336,40895.851782301834
5437.76,24000,-16786,-29536,41595.012826058846
5437.78,25350,-17536,-30586,43423.92418932218
5437.8,24900,-18136,-32236,44587.937741052796
5437.82,26400,-20086,32250,46265.212590022755
5437.84,26699,-19786,31050,45479.93950083927
5437.86,26400,-21436,30450,45647.17511522482
5437.88,27599,-22336,29699,46288.576322889865
5437.89,27750,-25186,29100,47446.88710547827
5437.91,28500,-26386,27750,47733.98680185848
5437.93,28950,-27136,26850,47910.20242077881
5437.95,28950,-29536,26699,49227.171328444216
5437.97,30150,-29236,26400,49605.70729260898
5437.99,30000,-31186,26100,50534.904729305665
5438.01,30300,-31936,26400,51331.842904770136
5438.03,31050,-31636,26550,51670.50895820555
5438.05,30000,-32086,26550,51326.5418277912
5438.07,31350,32100,28200,52995.02335125441
5438.09,31950,-32536,29249,54174.69701807293
5438.11,31650,32250,29699,54072.31825065391
5438.13,31500,31350,30750,54042.89962613035
5438.15,32250,31650,31050,54825.97468353846
5438.17,32400,31050,-32236,55254.15998818551
5438.19,32400,31650,-32236,55593.54455330223
5438.21,31950,30900,-31786,54643.95937338362
5438.23,32400,31500,-31336,54990.49823378581
5438.25,31800,31500,-31486,54725.29758713058
5438.26,31200,32100,-29387,53548.53657197366
5438.28,31650,32550,-29986,54409.421941424815
5438.3,31500,-31786,-29387,53536.86174030002
5438.32,32100,-31336,-29236,53545.29476994221
5438.34,31800,-30886,-28786,52856.58702564894
5438.36,30300,-30436,-27736,51124.6104337236
5438.38,30750,-29236,-27886,50773.37089459395
5438.4,30000,-28936,-26986,49654.16691477162
5438.42,30000,-27436,-24886,47665.99513279881
5438.44,29850,-27136,-26236,48121.8525412312
5438.46,28650,-25036,-26086,46131.36885027367
5438.48,28500,-24586,-26086,45795.20490182351
5438.5,28050,-23236,-25186,44283.73055649219
5438.52,27300,-23086,-25036,43646.93221751101
5438.54,27450,-22936,-25036,43661.92725934117
5438.56,28050,-22936,-24586,43787.37251765627
5438.58,27599,-22336,-24436,43101.27368187627
5438.6,27000,-22186,-24886,42901.4171327708
5438.62,27450,-21586,-24586,42707.48519873302
5438.64,27150,-22336,-25186,43247.58943571306
