mission_time,latitude,longitude
5701.29,47.9522272,-81.8113728
5701.36,47.9522272,-81.8113728
5701.39,47.9522368,-81.8113664
5701.44,47.9522368,-81.8113664
5701.49,47.95224,-81.8113472
5701.53,47.95224,-81.8113472
5701.59,47.9522432,-81.8113408
5701.61,47.9522432,-81.8113408
5701.69,47.9522432,-81.8113408
5701.69,47.9522528,-81.811328
5701.77,47.9522528,-81.811328
5701.79,47.952256,-81.8113152
5701.85,47.952256,-81.8113152
5701.89,47.9522592,-81.8113024
5701.94,47.9522592,-81.8113024
5702.0,47.9522656,-81.811296
5702.02,47.9522656,-81.811296
5702.09,47.952272,-81.8112896
5702.1,47.952272,-81.8112896
5702.18,47.952272,-81.8112896
5702.2,47.9522752,-81.8112704
5702.26,47.9522752,-81.8112704
5702.29,47.9522784,-81.811264
5702.35,47.9522784,-81.811264
5702.39,47.9522848,-81.8112576
5702.43,47.9522848,-81.8112576
5702.49,47.9522944,-81.8112384
5702.52,47.9522944,-81.8112384
5702.59,47.9522976,-81.811232
5702.59,47.9522976,-81.811232
5702.69,47.9522976,-81.811232
5702.69,47.952304,-81.8112192
5702.76,47.952304,-81.8112192
5702.79,47.9523072,-81.8112128
5702.85,47.9523072,-81.8112128
5702.89,47.9523168,-81.8112
5702.94,47.9523168,-81.8112
5703.0,47.95232,-81.8111872
5703.01,47.95232,-81.8111872
5703.1,47.9523232,-81.8111808
5703.1,47.9523232,-81.8111808
5703.19,47.9523232,-81.8111808
5703.199,47.9523328,-81.811168
5703.27,47.9523328,-81.811168
5703.29,47.952336,-81.8111552
5703.35,47.952336,-81.8111552
5703.39,47.9523424,-81.8111488
5703.43,47.9523424,-81.8111488
5703.49,47.9523456,-81.811136
5703.5,47.9523456,-81.811136
5703.59,47.9523552,-81.8111296
5703.59,47.9523552,-81.8111296
5703.68,47.9523552,-81.8111296
5703.69,47.9523584,-81.8111168
5703.76,47.9523584,-81.8111168
5703.79,47.9523648,-81.811104
5703.839,47.9523648,-81.811104
5703.89,47.9523744,-81.8110976
5703.92,47.9523744,-81.8110976
5704.0,47.9523776,-81.8110912
5704.0,47.9523776,-81.8110912
