mission_time,metres
5424.97,6290.343
5425.04,6289.64
5425.11,6286.307
5425.18,6287.535
5425.25,6284.379
5425.32,6287.184
5425.39,6285.606
5425.46,6285.781
5425.53,6287.36
5425.6,6291.746
5425.67,6299.295
5425.74,6308.61
5425.81,6317.231
5425.88,6318.638
5425.95,6315.294
5426.02,6310.896
5426.09,6302.633
5426.16,6291.746
5426.23,6279.646
5426.3,6270.189
5426.37,6264.589
5426.44,6262.84
5426.51,6260.916
5426.58,6259.343
5426.65,6258.294
5426.719,6256.721
5426.79,6253.751
5426.86,6250.258
5426.93,6247.289
5427.0,6246.068
5427.07,6256.022
5427.14,6273.515
5427.21,6288.588
5427.28,6299.998
5427.35,6308.082
5427.42,6310.544
5427.49,6304.215
5427.56,6295.783
5427.63,6288.939
5427.7,6280.698
5427.77,6272.114
5427.84,6261.616
5427.91,6248.686
5427.98,6235.95
5428.05,6228.98
5428.12,6226.716
5428.19,6224.452
5428.26,6222.19
5428.33,6220.449
5428.4,6217.317
5428.47,6216.274
5428.54,6213.491
5428.61,6212.622
5428.68,6211.579
5428.75,6211.753
5428.82,6214.535
5428.89,6217.317
5428.96,6217.491
5429.03,6216.1
5429.1,6213.665
5429.17,6220.971
5429.24,6235.95
5429.31,6250.956
5429.38,6264.239
5429.45,6273.34
5429.52,6279.471
5429.59,6278.946
5429.66,6267.739
5429.73,6249.908
5429.8,6230.548
5429.87,6216.448
5429.94,6207.061
5430.01,6202.545
5430.08,6200.462
5430.15,6197.858
5430.22,6194.735
5430.29,6190.052
5430.36,6186.239
5430.43,6183.12
5430.5,6176.885
5430.57,6173.942
5430.64,6173.251
5430.71,6170.482
5430.78,6167.369
5430.85,6163.911
5430.92,6162.874
5430.99,6168.579
5431.06,6181.907
5431.13,6198.899
5431.199,6216.448
5431.27,6228.632
5431.34,6234.207
5431.41,6223.93
5431.48,6204.976
5431.55,6186.065
5431.62,6169.445
5431.69,6156.136
5431.76,6149.923
5431.83,6146.644
5431.9,6143.54
5431.97,6141.126
5432.04,6138.368
5432.11,6136.301
5432.18,6135.095
5432.25,6133.373
5432.32,6131.307
5432.39,6130.446
5432.46,6128.724
5432.53,6126.831
5432.6,6127.52
5432.67,6138.714
5432.74,6155.619
5432.81,6169.617
5432.88,6175.846
5432.95,6176.885
5433.02,6176.539
5433.09,6176.193
5433.16,6174.981
5433.23,6172.904
5433.3,6170.482
5433.37,6164.603
5433.44,6149.577
5433.51,6132.684
5433.58,6114.793
5433.65,6108.609
5433.72,6106.377
5433.79,6104.66
5433.86,6101.915
5433.93,6100.199
5434.0,6097.455
5434.07,6096.426
5434.14,6094.54
5434.21,6090.941
5434.28,6087.686
5434.35,6086.144
5434.42,6084.603
5434.49,6085.288
5434.56,6088.885
5434.63,6100.885
5434.7,6115.137
5434.77,6123.39
5434.84,6124.938
5434.91,6126.831
5434.98,6129.24
5435.05,6134.406
5435.12,6136.646
5435.19,6128.896
5435.26,6106.377
5435.33,6081.693
5435.4,6071.941
5435.47,6069.206
5435.54,6066.985
5435.61,6063.909
5435.679,6062.885
5435.75,6060.153
5435.82,6057.933
5435.89,6055.715
5435.96,6054.52
5436.03,6053.497
5436.1,6052.302
5436.17,6050.256
5436.24,6048.039
5436.31,6046.164
5436.38,6044.119
5436.45,6042.756
5436.52,6039.69
5436.59,6038.668
5436.66,6036.114
5436.73,6035.773
5436.8,6035.262
5436.87,6033.901
5436.94,6032.539
5437.01,6030.497
5437.08,6028.796
5437.15,6028.286
5437.22,6028.967
5437.29,6029.987
5437.36,6029.647
5437.43,6028.967
5437.5,6025.565
5437.57,6026.585
5437.64,6022.675
5437.71,6024.715
5437.78,6027.605
5437.85,6027.946
5437.92,6030.157
5437.99,6033.56
5438.06,6027.436
5438.13,6010.955
5438.2,6013.331
5438.27,6006.542
5438.34,6004.677
5438.41,6003.489
5438.48,6002.641
5438.55,6000.268
5438.62,5998.403
5438.69,5997.048
5438.76,5996.709
5438.83,5994.676
5438.9,5993.828
5438.97,5992.135
5439.04,5992.642
5439.11,5993.151
5439.18,5993.151
5439.25,5993.828
5439.32,5995.523
5439.39,5998.403
5439.46,6001.963
5439.53,6005.525
5439.6,6011.973
5439.67,6016.898
5439.74,6019.106
5439.81,6020.975
5439.88,6026.245
5439.95,6031.178
5440.02,6036.284
5440.09,6039.179
5440.159,6040.2
5440.23,6041.393
5440.3,6039.69
5440.37,6037.816
5440.44,6033.731
5440.51,6029.136
5440.58,6023.864
5440.65,6023.864
5440.72,6024.034
5440.79,6020.975
5440.86,6018.936
5440.93,6015.029
5441.0,6015.539
5441.07,6018.427
5441.14,6022.335
5441.21,6024.715
5441.28,5998.234
5441.35,6003.998
5441.42,5981.64
5441.49,5971.16
5441.56,5964.067
5441.63,5956.306
5441.7,5959.68
5441.77,5958.499
5441.84,5949.9
5441.91,5941.816
5441.98,5939.964
5442.05,5939.459
5442.12,5939.796
5442.19,5939.29
5442.26,5935.589
5442.33,5927.853
5442.4,5921.973
5442.47,5919.79
5442.54,5917.104
5442.61,5915.09
5442.68,5912.237
5442.75,5910.895
5442.82,5909.385
5442.89,5908.379
5442.96,5908.547
5443.03,5906.535
5443.1,5905.027
5443.17,5903.685
5443.24,5901.34
5443.31,5899.832
5443.38,5902.01
5443.45,5910.559
5443.52,5922.645
5443.59,5939.122
5443.66,5958.33
5443.73,5976.737
5443.8,5980.288
5443.87,5978.596
5443.94,5973.526
5444.01,5970.315
5444.08,5968.119
5444.15,5964.236
5444.22,5951.922
5444.29,5935.421
5444.36,5922.309
5444.43,5911.566
5444.5,5902.68
5444.57,5894.975
5444.639,5887.946
5444.71,5880.589
5444.78,5873.573
5444.85,5869.732
5444.92,5866.561
5444.99,5864.059
5445.06,5862.391
5445.13,5860.89
5445.2,5859.056
5445.27,5858.389
5445.34,5856.223
5445.41,5855.556
5445.48,5853.556
5445.55,5852.557
5445.62,5851.058
5445.69,5850.392
5445.76,5850.891
5445.83,5850.392
5445.9,5848.394
5445.97,5848.061
5446.04,5846.229
5446.11,5843.9
5446.18,5841.238
5446.25,5839.075
5446.32,5836.913
5446.39,5835.417
5446.46,5835.417
5446.53,5835.085
5446.6,5836.082
5446.67,5841.404
5446.74,5852.224
5446.81,5860.224
5446.88,5864.726
5446.95,5873.072
5447.02,5882.094
5447.09,5886.441
5447.16,5882.595
5447.23,5877.581
5447.3,5869.9
5447.37,5861.724
5447.44,5858.056
5447.51,5856.389
5447.58,5859.056
5447.65,5857.222
5447.72,5854.39
5447.79,5850.891
5447.86,5844.399
5447.93,5834.42
5448.0,5823.124
5448.07,5813.833
5448.14,5807.865
5448.21,5806.043
5448.28,5805.381
5448.35,5802.4
5448.42,5799.088
5448.49,5795.944
5448.56,5792.966
5448.63,5792.47
5448.7,5789.824
5448.77,5790.485
5448.84,5792.47
5448.91,5792.966
5448.98,5794.124
5449.05,5794.951
5449.119,5792.139
5449.19,5787.344
5449.26,5776.607
5449.33,5789.328
5449.4,5801.074
5449.47,5813.501
5449.54,5814.331
5449.61,5822.958
5449.68,5819.473
5449.75,5811.678
5449.82,5799.585
5449.89,5789.162
5449.96,5782.221
5450.03,5776.276
5450.1,5771.325
5450.17,5765.058
5450.24,5759.29
5450.31,5753.032
5450.38,5749.576
5450.45,5746.943
5450.52,5743.818
5450.59,5741.188
5450.66,5740.037
5450.73,5737.572
5450.8,5738.229
5450.87,5738.886
5450.94,5748.917
5451.01,5764.235
5451.08,5778.588
5451.15,5791.312
5451.22,5801.406
5451.29,5808.695
5451.36,5811.18
5451.43,5808.198
5451.5,5798.261
5451.57,5784.039
5451.64,5762.092
5451.71,5739.051
5451.78,5724.436
5451.85,5718.039
5451.92,5714.434
5451.99,5711.157
5452.06,5709.192
5452.13,5707.063
5452.2,5706.244
5452.27,5705.098
5452.3,0.0
5452.34,5704.607
5452.4,5344.4
5452.41,5704.28
5452.48,5707.227
5452.55,5714.598
5452.62,5727.718
5452.69,5745.627
5452.76,5763.245
5452.83,5777.927
5452.9,5781.396
5452.97,5773.636
5453.04,5756.82
5453.11,5726.405
5453.18,5718.86
5453.25,5705.753
5453.32,5697.735
5453.39,5693.157
5453.46,5689.562
5453.53,5688.745
5453.599,5686.785
5453.67,5684.498
5453.74,5682.702
5453.81,5680.58
5453.88,5679.764
5453.95,5677.316
5454.02,5674.38
5454.09,5671.282
5454.16,5671.282
5454.23,5668.999
5454.3,5667.044
5454.37,5662.646
5454.44,5660.854
5454.51,5662.157
5454.58,5681.886
5454.65,5716.565
5454.72,5738.229
5454.79,5742.174
5454.86,5734.779
5454.93,5720.171
5455.0,5702.153
5455.07,5682.212
5455.14,5659.714
5455.21,5647.675
5455.28,5643.124
5455.35,5640.037
5455.42,5637.277
5455.49,5636.789
5455.56,5646.699
5455.63,5678.948
5455.7,5697.572
5455.77,5697.572
5455.84,5691.686
5455.91,5682.212
5455.98,5671.119
5456.05,5658.9
5456.12,5647.837
5456.19,5635.166
5456.26,5628.999
5456.33,5625.268
5456.4,5622.837
5456.47,5621.864
5456.54,5620.568
5456.61,5618.623
5456.68,5615.059
5456.75,5611.821
5456.82,5609.069
5456.89,5606.965
5456.96,5604.053
5457.0,0.0
5457.03,5603.892
5457.1,5604.377
5457.17,5609.879
5457.24,5617.651
5457.3,0.0
5457.31,5622.675
5457.38,5625.107
5457.45,5622.027
5457.52,5618.623
5457.59,5616.679
5457.66,5620.568
5457.73,5970.484
5457.8,5981.302
5457.87,5984.855
5457.94,5983.502
5458.01,5977.243
5458.079,5968.795
5458.15,5963.223
5458.22,5957.824
5458.29,5949.226
5458.36,5599.688
5458.43,5587.895
5458.5,5578.053
5458.57,5573.218
5458.64,5570.156
5458.71,5569.673
5458.78,5567.74
5458.85,5564.842
5458.92,5563.071
5458.99,5561.622
5459.06,5560.175
5459.13,5557.761
