mission_time,pascals
5316.4,35749
5316.47,35834
5316.54,35845
5316.61,35857
5316.68,35882
5316.75,35900
5316.82,35905
5316.89,35873
5316.96,35789
5317.03,35625
5317.1,35442
5317.17,35318
5317.24,35285
5317.31,35358
5317.38,35500
5317.45,35641
5317.52,35725
5317.59,35738
5317.66,35749
5317.73,35777
5317.8,35798
5317.87,35812
5317.94,35800
5318.01,35749
5318.08,35640
5318.15,35473
5318.22,35335
5318.29,35252
5318.36,35266
5318.43,35350
5318.5,35477
5318.57,35599
5318.64,35665
5318.71,35685
5318.78,35699
5318.85,35721
5318.92,35753
5318.99,35762
5319.06,35757
5319.13,35724
5319.199,35639
5319.27,35511
5319.34,35300
5319.41,35180
5319.48,35172
5319.55,35207
5319.62,35295
5319.69,35409
5319.76,35519
5319.83,35598
5319.9,35635
5319.97,35633
5320.04,35635
5320.11,35640
5320.18,35645
5320.25,35674
5320.32,35723
5320.39,35734
5320.46,35730
5320.53,35753
5320.6,35787
5320.67,35790
5320.74,35798
5320.81,35810
5320.88,35775
5320.95,35783
5321.02,35726
5321.09,35761
5321.16,35817
5321.23,35770
5321.3,35779
5321.37,35786
5321.44,35767
5321.51,35730
5321.58,35669
5321.65,35601
5321.72,35528
5321.79,35589
5321.86,35623
5321.93,35523
5322.0,35426
5322.07,35385
5322.14,35481
5322.21,35666
5322.28,35794
5322.35,35822
5322.42,35827
5322.49,35845
5322.56,35853
5322.63,35890
5322.7,35885
5322.77,35912
5322.84,35941
5322.91,35946
5322.98,35952
5323.05,35960
5323.12,35967
5323.19,35974
5323.26,35976
5323.33,35983
5323.4,35985
5323.47,35985
5323.54,35997
5323.61,36004
5323.679,36007
5323.75,35995
5323.82,36009
5323.89,36016
5323.96,36022
5324.03,36029
5324.1,36027
5324.17,36011
5324.24,35989
5324.31,35969
5324.38,35918
5324.45,35840
5324.52,35742
5324.59,35697
5324.66,35717
5324.73,35769
5324.8,35837
5324.87,35897
5324.94,35928
5325.01,35976
5325.08,36029
5325.15,36066
5325.22,36109
5325.29,36146
5325.36,36171
5325.43,36184
5325.5,36191
5325.57,36192
5325.64,36205
5325.71,36208
5325.78,36220
5325.85,36228
5325.92,36236
5325.99,36246
5326.06,36252
5326.13,36262
5326.2,36275
5326.27,36288
5326.34,36297
5326.41,36300
5326.48,36304
5326.55,36315
5326.62,36326
5326.69,36330
5326.76,36331
5326.83,36330
5326.9,36334
5326.97,36353
5327.04,36371
5327.11,36390
5327.18,36402
5327.25,36395
5327.32,36389
5327.39,36386
5327.46,36391
5327.53,36411
5327.6,36412
5327.67,36392
5327.74,36337
5327.81,36282
5327.88,36231
5327.95,36208
5328.02,36244
5328.09,36357
5328.159,36466
5328.23,36500
5328.3,36511
5328.37,36519
5328.44,36523
5328.51,36520
5328.58,36505
5328.65,36457
5328.72,36438
5328.79,36406
5328.86,36370
5328.93,36343
5329.0,36322
5329.07,36393
5329.14,36322
5329.21,36351
5329.28,36470
5329.35,36619
5329.42,36657
5329.49,36648
5329.56,36629
5329.63,36616
5329.7,36612
5329.77,36574
5329.84,36488
5329.91,36357
5329.98,36280
5330.05,36302
5330.12,36390
5330.19,36539
5330.26,36702
5330.33,36747
5330.4,36753
5330.47,36753
5330.54,36751
5330.61,36731
5330.68,36631
5330.75,36532
5330.82,36469
5330.89,36427
5330.96,36414
5331.03,36410
5331.1,36411
5331.17,36432
5331.24,36501
5331.31,36574
5331.38,36607
5331.45,36619
5331.52,36648
5331.59,36784
5331.66,36869
5331.73,36895
5331.8,36918
5331.87,36927
5331.94,36932
5332.01,36930
5332.08,36937
5332.15,36943
5332.22,36947
5332.29,36953
5332.36,36965
5332.43,36966
5332.5,36972
5332.57,36972
5332.639,36984
5332.71,36990
5332.78,36999
5332.85,36975
5332.92,36912
5332.99,36853
5333.06,36810
5333.13,36797
5333.2,36800
5333.27,36801
5333.34,36810
5333.41,36815
5333.48,36841
5333.55,36944
5333.62,37080
5333.69,37136
5333.76,37153
5333.83,37155
5333.9,37158
5333.97,37161
5334.04,37165
5334.11,37171
5334.18,37179
5334.25,37181
5334.32,37181
5334.39,37193
5334.46,37201
5334.53,37208
5334.6,37197
5334.67,37187
5334.74,37138
5334.81,37015
5334.88,36891
5334.95,36885
5335.02,36963
5335.09,37094
5335.16,37230
5335.23,37296
5335.3,37309
5335.37,37316
