mission_time,celsius
5434.77,17.78
5434.84,17.77
5434.91,17.77
5434.98,17.76
5435.05,17.76
5435.12,17.75
5435.19,17.77
5435.26,17.78
5435.33,17.8
5435.4,17.8
5435.47,17.81
5435.54,17.8
5435.61,17.8
5435.679,17.8
5435.75,17.8
5435.82,17.8
5435.89,17.8
5435.96,17.8
5436.03,17.8
5436.1,17.79
5436.17,17.8
5436.24,17.79
5436.31,17.79
5436.38,17.78
5436.45,17.78
5436.52,17.78
5436.59,17.78
5436.66,17.78
5436.73,17.77
5436.8,17.77
5436.87,17.78
5436.94,17.77
5437.01,17.77
5437.08,17.77
5437.15,17.76
5437.22,17.75
5437.29,17.75
5437.36,17.75
5437.43,17.74
5437.5,17.74
5437.57,17.73
5437.64,17.74
5437.71,17.73
5437.78,17.72
5437.85,17.73
5437.92,17.71
5437.99,17.71
5438.06,17.7
5438.13,17.71
5438.2,17.71
5438.27,17.71
5438.34,17.71
5438.41,17.71
5438.48,17.71
5438.55,17.71
5438.62,17.7
5438.69,17.7
5438.76,17.7
5438.83,17.69
5438.9,17.68
5438.97,17.67
5439.04,17.67
5439.11,17.66
5439.18,17.65
5439.25,17.64
5439.32,17.63
5439.39,17.63
5439.46,17.62
5439.53,17.61
5439.6,17.6
5439.67,17.59
5439.74,17.59
5439.81,17.59
5439.88,17.58
5439.95,17.57
5440.02,17.56
5440.09,17.56
5440.159,17.55
5440.23,17.55
5440.3,17.55
5440.37,17.55
5440.44,17.55
5440.51,17.56
5440.58,17.56
5440.65,17.55
5440.72,17.55
5440.79,17.56
5440.86,17.56
5440.93,17.56
5441.0,17.55
5441.07,17.55
5441.14,17.54
5441.21,17.54
5441.28,17.58
5441.35,17.55
5441.42,17.58
5441.49,17.59
5441.56,17.59
5441.63,17.59
5441.7,17.59
5441.77,17.59
5441.84,17.59
5441.91,17.59
5441.98,17.59
5442.05,17.59
5442.12,17.59
5442.19,17.59
5442.26,17.59
5442.33,17.59
5442.4,17.59
5442.47,17.59
5442.54,17.59
5442.61,17.59
5442.68,17.59
5442.75,17.58
5442.82,17.58
5442.89,17.58
5442.96,17.57
5443.03,17.57
5443.1,17.57
5443.17,17.56
5443.24,17.56
5443.31,17.56
5443.38,17.55
5443.45,17.53
5443.52,17.51
5443.59,17.47
5443.66,17.45
5443.73,17.44
5443.8,17.43
5443.87,17.43
5443.94,17.44
5444.01,17.44
5444.08,17.44
5444.15,17.44
5444.22,17.45
5444.29,17.47
5444.36,17.49
5444.43,17.49
5444.5,17.51
5444.57,17.51
5444.639,17.52
5444.71,17.52
5444.78,17.53
5444.85,17.53
5444.92,17.53
5444.99,17.52
5445.06,17.52
5445.13,17.52
5445.2,17.52
5445.27,17.52
5445.34,17.51
5445.41,17.51
5445.48,17.51
5445.55,17.49
5445.62,17.49
5445.69,17.49
5445.76,17.48
5445.83,17.48
5445.9,17.48
5445.97,17.47
5446.04,17.47
5446.11,17.47
5446.18,17.47
5446.25,17.46
5446.32,17.46
5446.39,17.46
5446.46,17.46
5446.53,17.45
5446.6,17.45
5446.67,17.43
5446.74,22.54
5446.81,22.53
5446.88,22.52
5446.95,22.5
5447.02,22.49
5447.09,22.48
5447.16,22.48
5447.23,22.49
5447.3,22.49
5447.37,22.5
5447.44,22.5
5447.51,22.49
5447.58,22.49
5447.65,22.49
5447.72,22.48
5447.79,22.48
5447.86,22.49
5447.93,22.5
5448.0,22.51
5448.07,22.51
5448.14,22.51
5448.21,22.51
5448.28,22.5
5448.35,22.5
5448.42,22.5
5448.49,22.5
5448.56,22.5
5448.63,22.5
5448.7,22.49
5448.77,22.49
5448.84,22.48
5448.91,22.47
5448.98,22.47
5449.05,22.46
5449.119,22.46
5449.19,22.47
5449.26,22.47
5449.33,22.45
5449.4,22.44
5449.47,22.42
5449.54,22.41
5449.61,22.4
5449.68,22.41
5449.75,22.41
5449.82,22.43
5449.89,22.43
5449.96,22.44
5450.03,22.44
5450.1,22.44
5450.17,22.45
5450.24,22.45
5450.31,22.45
5450.38,22.45
5450.45,22.45
5450.52,22.45
5450.59,22.45
5450.66,22.45
5450.73,22.45
5450.8,22.44
5450.87,22.44
5450.94,22.41
5451.01,22.39
5451.08,22.37
5451.15,22.35
5451.22,22.34
5451.29,22.33
5451.36,22.33
5451.43,22.33
5451.5,22.35
5451.57,22.37
5451.64,22.39
5451.71,22.41
5451.78,22.42
5451.85,22.42
5451.92,22.42
5451.99,22.42
5452.06,22.42
5452.13,22.42
5452.2,22.42
5452.27,22.41
5452.34,22.41
5452.41,22.4
5452.48,22.39
5452.55,22.37
5452.62,22.35
5452.69,22.32
5452.76,22.3
5452.83,22.28
5452.9,22.28
5452.97,22.28
5453.04,22.32
